City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Nazare,BR,72.99,broken clouds,-13.04,-39.01,Pousada do Trevo
629,Libertad,PH,76.91,overcast clouds,8.94,125.5,Almont City Hotel
630,Panukulan,PH,81.73,moderate rain,14.93,121.81,AC Lodging House
632,Dakar,SN,82.4,clear sky,14.69,-17.44,Novotel Dakar
635,Mbanza-Ngungu,CD,71.4,moderate rain,-5.25,14.87,Hotel Full Business
640,Puerto Escondido,MX,87.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
642,Panama City,PA,84.2,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
644,Gladstone,AU,75.2,heavy intensity rain,-23.85,151.25,Highpoint International
646,Ramos Arizpe,MX,89.6,clear sky,25.55,-100.97,Mario's Inn
650,Nishihara,JP,71.6,overcast clouds,26.18,127.76,Minshuku Agaihama
654,Monrovia,LR,75.2,thunderstorm with rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
656,Kuching,MY,73.4,few clouds,1.55,110.33,Hilton Kuching
658,Vanimo,PG,79.47,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
659,Amahai,ID,79.75,moderate rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
661,Panaba,MX,82.33,light rain,21.28,-88.27,Hotel Amor
662,Cururupu,BR,76.64,light rain,-1.83,-44.87,Pousada Través'cia
663,Puerto Cabezas,NI,86.0,light thunderstorm,14.04,-83.39,Hotel Caribe
667,Cambridge,CA,72.0,broken clouds,43.36,-80.31,Cambridge Gateway Suites
669,Presidencia Roque Saenz Pena,AR,73.06,light rain,-26.79,-60.44,Hotel Aconcagua
672,Bilma,NE,80.04,clear sky,18.69,12.92,Expeditions Ténére voyages
